Country,Year,Import Share,Fit,GDP/capita,Energy Consumption,Annual Solar Capacity Addition,TechAdvancement,Tech Advancement CN,Trade Policies EU,Fixed Asset Investment CN (prior year),Avg Wage Difference,Environ. St. Difference
Austria,2005,0.86,0.672,38417.46,425.46,-6,104,573,0,525.7,2346.47,1.6111
Austria,2006,15.73,0.678,40669.33,421.01,1.4,103,979,0,771.5,2408.95,1.8333
Austria,2007,7.33,0.521,46915.34,411.99,1.9,117,1621,0,1110.7,2407.1,1.5556
Austria,2008,6.67,0.559,51919.98,420.01,5.9,123,2364,0,1608.4,2568.188377,1.8611
Austria,2009,6.99,0.53,48153.32,406.84,18.8,84,4149,0,2344,2974.78,1.9722
Austria,2010,17.15,0.434,46903.76,420.16,39.9,52,6397,0,3557.7,2755.66,1.7778
Austria,2011,18.52,0.438,51442.28,396.07,85.3,34,7634,0,4997.2,3004.24,1.5833
Austria,2012,28.38,0.338,48564.92,414.52,163.4,27,8395,0,7881.2,2997.29,0.4722
Austria,2013,19.75,0.23,50731.13,411.2,288.5,20,8057,21.84,8280.1,3108.45,0.75
Austria,2014,16.42,0,51786.38,394.8,159.3,13,10136,47.7,9210.6,2864.4,0.3611
Austria,2015,12.38,0,44195.82,394.84,151.9,15,12974,47.7,10403.5,3111.94,0.0556
Austria,2016,7.06,0,45307.59,407.98,158.9,10,17340,47.7,11314.6,3238.14,0.1667
Austria,2017,6.28,0,47429.16,417.2,173,7,22199,47.7,12781.6,3230.85,0.1111
Austria,2018,8.37,0,51466.56,408.31,186.2,11,25048,33.79,13346.7,3323.38,0.2222
Austria,2019,19.79,0,50067.59,429.03,247,6,21697,0,15108.17,3444.05,0.1944
Belgium,2005,16.27,0,36809.7,756.12,1,3,573,0,525.7,2503.66,1.8889
Belgium,2006,40.78,0,38705.11,758.24,0,1,979,0,771.5,2485.92,1.9444
Belgium,2007,33.9,0,44319.17,763.47,18,3,1621,0,1110.7,2460.31,1.6111
Belgium,2008,38.33,0,48303.4,775.73,42,4,2364,0,1608.4,4145.14,1.8333
Belgium,2009,35.59,0,44760.29,715.85,324,4,4149,0,2344,2843.18,1.6944
Belgium,2010,36.95,0,44184.95,764.72,620.6,7,6397,0,3557.7,4803.31,1.25
Belgium,2011,37.79,0,47410.57,713.59,972,8,7634,0,4997.2,2987.21,1.4722
Belgium,2012,28.84,0,44670.56,684.92,668,4,8395,0,7881.2,5059.74,0.5833
Belgium,2013,19.43,0,46757.95,701.93,255,7,8057,21.84,8280.1,3030.14,0.4167
Belgium,2014,18.58,0,47764.07,650.87,113.4,3,10136,47.7,9210.6,3135.68,0.1944
Belgium,2015,25.03,0,41008.3,657.44,116.6,10,12974,47.7,10403.5,3065.36,-0.0556
